slug,ingredient_name,amount,unit,daily_value_pct,form,is_proprietary_blend,blend_name
gi-restore,Calories,200,,,,FALSE,
gi-restore,Total Fat,6,g,8,,FALSE,
gi-restore,Saturated Fat,3,g,15,,FALSE,
gi-restore,Total Carbohydrate,14,g,5,,FALSE,
gi-restore,Dietary Fiber,4,g,14,,FALSE,
gi-restore,Total Sugars,8,g,,,FALSE,
gi-restore,Protein,19,g,38,,FALSE,
gi-restore,Vitamin D,50,mcg,250,D3 as Cholecalciferol,FALSE,
gi-restore,Calcium,30,mg,2,,FALSE,
gi-restore,Iron,0.4,mg,2,,FALSE,
gi-restore,Sodium,50,mg,2,,FALSE,
gi-restore,Potassium,90,mg,2,,FALSE,
gi-restore,Rice Protein,,,,,TRUE,Proprietary Blend
gi-restore,Flaxseed Flour,,,,,TRUE,Proprietary Blend
gi-restore,L-Glutamine USP,2.5,g,,,FALSE,
gi-restore,Medium Chain Triglycerides,1.5,g,,,FALSE,
gi-restore,Alpha Linolenic Acid,1.3,g,,from Flaxseed Flour,FALSE,
glutathione-cacao-mint,Glutathione Proprietary Blend,190,mg,,,TRUE,Proprietary Blend
hair-nails,Vitamin A,1500,mcg,167,"from 5,000 IU as Palmitate",FALSE,
hair-nails,Vitamin D,1,mcg,5,D3 as Cholecalciferol,FALSE,
hair-nails,Folate,680,mcg DFE,170,from 400 mcg Folic Acid,FALSE,
hair-nails,Vitamin B12,100,mcg,"4,167",as Methylcobalamin,FALSE,
hair-nails,Biotin,500,mcg,"1,667",,FALSE,
hair-nails,Selenium,25,mcg,45,as Selenium Glycinate Complex,FALSE,
hair-nails,Methylsulfonylmethane (MSM),325,mg,,OptiMSM®,FALSE,
hair-nails,Saw Palmetto Berry Extract,320,mg,,Standardized to contain 45% Fatty Acids,FALSE,
hair-nails,Horsetail,250,mg,,Equisetum arvense (Aerial Parts),FALSE,
hair-nails,Stinging Nettle (Leaves),240,mg,,,FALSE,
hair-nails,para-Aminobenzoic Acid (PABA),150,mg,,,FALSE,
hair-nails,Betaine Hydrochloride USP,100,mg,,,FALSE,
hcl-b-p,Betaine Hydrochloride USP,1.04,g,,,FALSE,
hcl-b-p,"Pepsin 1:3,000 Powder",208,mg,,,FALSE,
her-flora,Probiotic Blend,50,mg,,2 Billion CFU,TRUE,Proprietary Blend
her-flora,Lactobacillus reuteri (RC-14®),,,,,TRUE,Proprietary Blend
